Subject,hasEmail,hasURL,druh (cs),druh (en),type
618,predprodej@mdb.cz,https://www.gotobrno.cz/akce/ocelove-magnolie/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
730,pecinkova@ticbrno.cz,https://www.gotobrno.cz/akce/pruvodcovske-sluzby-zakladni-okruhy-2/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
974,,https://www.gotobrno.cz/akce/varhanici-pro-sv-jakuba-marketa-polakova-jana-svarickova/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
854,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/the-backwards-the-beatles-66-tour/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
613,info@globart.cz,https://www.gotobrno.cz/akce/novorocni-koncert-s-pripitkem/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
734,pecinkova@ticbrno.cz,https://www.gotobrno.cz/akce/pruvodcovske-sluzby-zakladni-okruhy-3/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
702,skolniprohlidky@ticbrno.cz,https://www.gotobrno.cz/akce/prohlidky-brna-pro-skoly-dalsi-nabidka/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
944,info@brusinkabrno.cz,https://www.gotobrno.cz/akce/vanocni-multikulturni-karaoke-party/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
825,info@brusinkabrno.cz,https://www.gotobrno.cz/akce/stories-in-10-vecer-vypraveni-pribehu-v-anglictine-a-networkingu/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
706,skolniprohlidky@ticbrno.cz,https://www.gotobrno.cz/akce/prohlidky-brna-pro-skoly-nase-klasika/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
949,produkce@bohemiamusical.cz,https://www.gotobrno.cz/akce/vanocni-muzikalovy-koncert-jiri-pek-smyccovy-kvintet/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
940,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/vanocni-koncert-vlasta-redl-s-kapelou-a-mirek-donutil/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
820,info@ceskatelevize.cz,https://www.gotobrno.cz/akce/stardance-tour-2025/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
834,svatebnifestival@gmail.com,https://www.gotobrno.cz/akce/svatebni-festival-brno/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
714,skolniprohlidky@ticbrno.cz,https://www.gotobrno.cz/akce/prohlidky-brna-pro-skoly-v-interieru/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
959,,https://www.gotobrno.cz/akce/vanocni-tradice-a-povanocni-hody-v-efi-hostinci-osmec/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
718,uricarova@ticbrno.cz,https://www.gotobrno.cz/akce/pruvodcovske-sluzby-autenticke-prohlidky/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
839,spilberk@muzeumbrna.cz,https://www.gotobrno.cz/akce/svetelny-park-na-spilberku/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
830,,https://www.gotobrno.cz/akce/suicidal-angels-gr-host/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
710,skolniprohlidky@ticbrno.cz,https://www.gotobrno.cz/akce/prohlidky-brna-pro-skoly-specialni-prohlidky/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
954,olga.cechova@luzanky.cz,https://www.gotobrno.cz/akce/vanocni-prochazka-o-panu-spisovateli-lidusce-a-vanocnim-stromu/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
768,helena.greplova@gmail.com,https://www.gotobrno.cz/akce/rozsviceni-vanocniho-stromu-2/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
406,creatis@seznam.cz,https://www.gotobrno.cz/akce/kresba-pro-dospele/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
528,predprodej@filharmonie-brno.cz,https://www.gotobrno.cz/akce/metamorfozy/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
882,info@brnokoncert.cz,https://www.gotobrno.cz/akce/trojkoncert-legend-the-animals-and-friends-creedence-clearwater-revived-a-flamengo/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
520,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/mesita/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
641,,https://www.gotobrno.cz/akce/oslavy-vyroci-80-let-konce-valky-brne/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
763,jirik.murtinger@seznam.cz,https://www.gotobrno.cz/akce/reckovicky-ples-2025/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
401,creatis@seznam.cz,https://www.gotobrno.cz/akce/kresba-malba-pro-dospele-a-seniorydopoledne/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
524,,https://www.gotobrno.cz/akce/metallama-vol-2-drom-thulsa-lut-voodoo-garden-chandra/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
645,predprodej@mdb.cz,https://www.gotobrno.cz/akce/osmycky/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
887,creatis@seznam.cz,https://www.gotobrno.cz/akce/tvurci-keramika-pro-dospele/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
416,krestanskevanoce@dieceze.cz,https://www.gotobrno.cz/akce/krestanske-vanoce/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
538,info@brusinkabrno.cz,https://www.gotobrno.cz/akce/mezinarodni-dvojjazycny-kviz-v-brne-vol-5/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
659,,https://www.gotobrno.cz/akce/podivne-odpoledne-dr-zvonka-burkeho-3/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
892,info@mysteryroom.cz,https://www.gotobrno.cz/akce/unikova-hra-zaklety-cirkus-pro-deti-7-10-let/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
650,kultura@kjm.cz,https://www.gotobrno.cz/akce/pavel-salak-ztracena-zeme-vernisaz-vystavy/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
773,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/salome/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
411,muzeum@malymehrin.cz,https://www.gotobrno.cz/akce/kresby-z-terezina-denik-gisely-rottonara/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
533,info@brusinkabrno.cz,https://www.gotobrno.cz/akce/mezinarodni-dvojjazycny-kviz-v-brne-vol-4/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
655,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/petr-spacek-band/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
897,info@urbanchallenge.cz,https://www.gotobrno.cz/akce/urban-challenge/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
777,encmedia2023@gmail.com,https://www.gotobrno.cz/akce/setkani-encounter-2/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
867,info@choirchestra.cz,https://www.gotobrno.cz/akce/tradicni-vanoce-s-choirchestrou-a-hosty/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
746,pr@fleda.cz,https://www.gotobrno.cz/akce/psh-2/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
505,predprodej@filharmonie-brno.cz,https://www.gotobrno.cz/akce/maurice-ravel-150/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
989,,https://www.gotobrno.cz/akce/varhanici-pro-sv-jakuba-tomas-sommer/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
628,,https://www.gotobrno.cz/akce/ohen-a-popel-10/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
862,mzm@mzm.cz,https://www.gotobrno.cz/akce/tisic-tvari-amazonie/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
984,,https://www.gotobrno.cz/akce/varhanici-pro-sv-jakuba-musica-figuralis-a-marek-cermak/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
742,pecinkova@ticbrno.cz,https://www.gotobrno.cz/akce/pruvodcovske-sluzby-zakladni-okruhy/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
501,,https://www.gotobrno.cz/akce/masopust-na-spilberku/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
623,,https://www.gotobrno.cz/akce/ochutnavka-italske-kavy-galliano/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
636,info@cabaretdespeches.com,https://www.gotobrno.cz/akce/open-gala-the-best-of-crazy-cabaret/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
515,,https://www.gotobrno.cz/akce/meeting-brno-2025/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
759,,https://www.gotobrno.cz/akce/rebelky-6/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
872,,https://www.gotobrno.cz/akce/tradicni-vanocni-koncert-kantileny-2/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
751,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/radio-and-juliet/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
510,predprodej@mdb.cz,https://www.gotobrno.cz/akce/medikus/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
994,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/variete-krhut/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
632,,https://www.gotobrno.cz/akce/ohen-a-popel-9/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
755,,https://www.gotobrno.cz/akce/rebelky-5/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
998,info@vida.cz,https://www.gotobrno.cz/akce/vedecke-vanoce-dilnicky-s-pokusy-ve-vida/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
877,urbancentrum@brno.cz,https://www.gotobrno.cz/akce/trnita-uz-se-stavi/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
449,moravskavesnicka@seznam.cz,https://www.gotobrno.cz/akce/leonardovy-stroje-2/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
207,,https://www.gotobrno.cz/akce/enigma-tajny-svet-sifer/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
562,dykova@tmbrno.cz,https://www.gotobrno.cz/akce/motocykl-v-promenach-casu/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
441,kopecka@tmbrno.cz,https://www.gotobrno.cz/akce/legenda-z-maranella/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
684,info@holubnikstudio.cz,https://www.gotobrno.cz/akce/predvanocni-dilny-v-holubniku/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
322,info@cabaretdespeches.com,https://www.gotobrno.cz/akce/jazz-ladies-co-5/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
202,fg@faitgallery.com,https://www.gotobrno.cz/akce/druha-strana-fotografie/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
445,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/lenka-nova-a-kapela-petra-malaska-specialni-host-ondrej-ruml/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
567,predprodej@filharmonie-brno.cz,https://www.gotobrno.cz/akce/mozart-a-janulyte-confluere/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
689,,https://www.gotobrno.cz/akce/presunuto-erika-rein-krest-dasa-aimee-zia/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
327,info@jazzfestbrno.cz,https://www.gotobrno.cz/akce/jazzfestbrno/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
680,,https://www.gotobrno.cz/akce/prago-union-live-band/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
331,info@brnokoncert.cz,https://www.gotobrno.cz/akce/jedinecna-kubanska-show-pasion-de-buena-vista/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
454,predprodej@filharmonie-brno.cz,https://www.gotobrno.cz/akce/leos-a-bohous-aneb-liska-a-mysi-rodinne-abonma/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
212,predprodej@filharmonie-brno.cz,https://www.gotobrno.cz/akce/fabio-biondi-filharmonie-brno/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
576,predprodej@filharmonie-brno.cz,https://www.gotobrno.cz/akce/mozartuv-efekt-koncert-nejen-pro-nastavajici-rodice/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
698,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/prodana-nevesta/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
336,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/jeji-pastorkyna/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
459,,https://www.gotobrno.cz/akce/lifetime-velka-steparska-show-tobiase-kosira-a-t-group-2025/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
217,spilberk@muzeumbrna.cz,https://www.gotobrno.cz/akce/fenomen-fatra/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
572,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/mozart-group-zcela-jine-kvarteto-polsko/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
693,creatis@seznam.cz,https://www.gotobrno.cz/akce/pripravny-kurz-na-talentovky-umelecke-skoly-vc-architektury-a-designu/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
548,pr@fleda.cz,https://www.gotobrno.cz/akce/moja-rec/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
307,info@brusinkabrno.cz,https://www.gotobrno.cz/akce/jarmark-knih-v-rustine/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
663,predprodej@mdb.cz,https://www.gotobrno.cz/akce/pohadka-o-zive-vode/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
421,galbori@seznam.cz,https://www.gotobrno.cz/akce/kurz-sebeobrany-se-strelnou-zbrani/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
543,galbori@seznam.cz,https://www.gotobrno.cz/akce/minikurz-sebeobrany-pro-muze-a-zeny-od-15ti-let/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
786,,https://www.gotobrno.cz/akce/silvestrovska-millenium-party/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
303,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/janoska-ensemble-slovensko/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
667,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/pokojicek/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
426,tom@chytrykviz.cz,https://www.gotobrno.cz/akce/kviz-open25/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
781,info@cabaretdespeches.com,https://www.gotobrno.cz/akce/silvestr-v-cabaret-des-peches/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
317,info@cabaretdespeches.com,https://www.gotobrno.cz/akce/jazz-burlesque/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
431,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/labuti-jezero/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
795,predprodej@fiilharmonie-brno.cz,https://www.gotobrno.cz/akce/skryte-poklady-romantismu/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
553,pr@fleda.cz,https://www.gotobrno.cz/akce/monkey-business-kdyz-muzy-mlci-tour/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
675,predprodej@mdb.cz,https://www.gotobrno.cz/akce/prachy-2/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
312,fg@faitgallery.com,https://www.gotobrno.cz/akce/jaromir-novotny/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
436,predprodej@mdb.cz,https://www.gotobrno.cz/akce/lakomec/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
558,,https://www.gotobrno.cz/akce/monogramista-t-d-partitura-padajicich-snehovych-vlocek-zimni-udalost-2024/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
790,basnicivcesku@gmail.com,https://www.gotobrno.cz/akce/skryta-tvar-ceske-literatury-ivan-divis/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
671,info@ticbrno.cz,https://www.gotobrno.cz/akce/poznavejte-mesto-s-pruvodcem/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
1054,letohradekbrno@seznam.cz,https://www.gotobrno.cz/akce/vystava-zahranicni-a-exoticke-betlemy/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
122,KLASTERNI@POST.CZ,https://www.gotobrno.cz/akce/cimbalove-ctvrtky-v-klasterni-vinarne-5/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
54,divadlodip@gmail.com,https://www.gotobrno.cz/akce/autoteatro-problemovi-spoluzaci-4/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
244,klub@alterna.cz,https://www.gotobrno.cz/akce/god-and-eve-krstni-otcovia/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
488,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/manon-lescaut/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
368,predprodej@filharmonie-brno.cz,https://www.gotobrno.cz/akce/komorni-rodinne-odpoledne-trijo-tem-to-hraje/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
59,predprodej@mdb.cz,https://www.gotobrno.cz/akce/az-na-ten-konec-dobry/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
127,pomezios@gmail.com,https://www.gotobrno.cz/akce/cine-club-poezie-skutecnosti/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
249,aneta.wirth@bujoart.cz,https://www.gotobrno.cz/akce/groove-brno-2025-dvoudenni-letni-festival/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
483,monika@centrum-mandala.cz,https://www.gotobrno.cz/akce/mandala-detem-neziskovy-projekt/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
63,,https://www.gotobrno.cz/akce/bastl-jam/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
363,info@stetl.cz,https://www.gotobrno.cz/akce/komentovana-prohlidka-zidovskeho-hrbitova-s-evou-yildizovou/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
1049,brno@bdc.cz,https://www.gotobrno.cz/akce/vystava-buddhismus-diamantove-cesty-30-let-v-cr-50-let-na-zapade/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
1044,,https://www.gotobrno.cz/akce/vus-ondras-cesta-svetla-derniera/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
1040,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/vlastenci/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
254,predprodej@filharmonie-brno.cz,https://www.gotobrno.cz/akce/haydnovo-stvoreni/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
497,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/marysa-3/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
44,panenska@ticbrno.cz,https://www.gotobrno.cz/akce/autenticke-prohlidky-2023-nejvetsi-brnenske-varhany-zblizka/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
378,predprodej@filharmonie-brno.cz,https://www.gotobrno.cz/akce/koncert-s-laureaty/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
137,pomezios@gmail.com,https://www.gotobrno.cz/akce/cine-club-probuzeni/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
259,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/hodinovy-hotelier/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
49,panenska@ticbrno.cz,https://www.gotobrno.cz/akce/autenticke-prohlidky-2024-brnenska-okruzni-trida/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
492,info@dum-umeni.cz,https://www.gotobrno.cz/akce/marius-kotrba-conditio-humana/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
373,nekuza@tmbrno.cz,https://www.gotobrno.cz/akce/komorni-vystava-mechanicke-vanoce-ii/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
132,pomezios@gmail.com,https://www.gotobrno.cz/akce/cine-club-probuzeni-syn-od-mehdi-barsaoui/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
1035,muzeum@malymehrin.cz,https://www.gotobrno.cz/akce/vitezny-navrh-budovy-muzea-mehrin/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
108,tomas.kryl@email.cz,https://www.gotobrno.cz/akce/brno-vanocni-aneb-patrani-po-jeziskovi-2/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
1074,info@brusinkabrno.cz,https://www.gotobrno.cz/akce/workshop-olejomalby-s-vinem/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
76,luciestara@luzanky.cz,https://www.gotobrno.cz/akce/betlemske-svetlo-a-zpivani-koled-v-bohunicke-kaplicce-2/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
464,,https://www.gotobrno.cz/akce/made-by-fire/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
222,,https://www.gotobrno.cz/akce/festival-bonjour-brno/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
585,predprodej@mdb.cz,https://www.gotobrno.cz/akce/ne-normalni/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
344,predprodej@filharmonie-brno.cz,https://www.gotobrno.cz/akce/klavirni-recital-alexandre-tharaud/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
104,,https://www.gotobrno.cz/akce/brno-space-days-dny-jihomoravske-kosmonautiky-2/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
226,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/figarova-svatba/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
469,obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/majitele-klicu/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
