Subject,predicate20,predicate4,predicate14,predicate13,predicate9,predicate1,predicate6,predicate8,predicate10,predicate17,predicate19,predicate18,predicate15,predicate5,predicate12,predicate16,predicate11,predicate2,predicate21,predicate3,predicate7
http://example.org/resource/subject58429,http://example.org/resource/object12287,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject59935,http://example.org/resource/object65489,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject82708,http://example.org/resource/object57395,,,,,,http://example.org/resource/object22675,,,,,,,,,,,http://example.org/resource/object34272,,,
http://example.org/resource/subject39150,http://example.org/resource/object5283,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject63189,http://example.org/resource/object10698,,,,,,,,,,,,,,,,,,http://example.org/resource/object81550,,
http://example.org/resource/subject62095,http://example.org/resource/object52551,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject77671,http://example.org/resource/object72918,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject7612,http://example.org/resource/object79622,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject17104,http://example.org/resource/object94268,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject50073,http://example.org/resource/object42812,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject55815,http://example.org/resource/object9544,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject33705,http://example.org/resource/object96842,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject7177,http://example.org/resource/object8970,,,,,,,,,,,,,,http://example.org/resource/object34636,,,,,,
http://example.org/resource/subject50411,http://example.org/resource/object2263,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject56886,http://example.org/resource/object23938,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject15566,http://example.org/resource/object66549,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject19923,http://example.org/resource/object8633,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject37533,http://example.org/resource/object1388,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject99642,"http://example.org/resource/object70161,http://example.org/resource/object38119",,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject88904,http://example.org/resource/object97292,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject8396,http://example.org/resource/object63394,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject87982,http://example.org/resource/object26568,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject38812,http://example.org/resource/object7441,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject37301,http://example.org/resource/object9810,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject85308,http://example.org/resource/object9558,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject69380,http://example.org/resource/object32057,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject5592,http://example.org/resource/object59512,,,,,,,,,,,,,,,,http://example.org/resource/object97561,,,,
http://example.org/resource/subject91402,http://example.org/resource/object67906,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject77282,http://example.org/resource/object34799,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject93794,http://example.org/resource/object35556,,,,,,,,http://example.org/resource/object64122,,,,,,,,http://example.org/resource/object50038,,,,
http://example.org/resource/subject90823,http://example.org/resource/object32879,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject91157,http://example.org/resource/object93012,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject41129,http://example.org/resource/object4827,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject18440,http://example.org/resource/object87184,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject49546,http://example.org/resource/object27949,,,,,,,,,,,,,,,,,http://example.org/resource/object96940,,,
http://example.org/resource/subject56418,http://example.org/resource/object54477,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject27722,http://example.org/resource/object24575,,,,,,,,,,http://example.org/resource/object47897,,,,,,,,,,
http://example.org/resource/subject18538,http://example.org/resource/object15039,,,,,,,,,http://example.org/resource/object33376,,,,,,,,,,,
http://example.org/resource/subject98827,http://example.org/resource/object49303,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject68797,http://example.org/resource/object72739,http://example.org/resource/object16011,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject98257,http://example.org/resource/object62287,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject18153,http://example.org/resource/object71666,,,,,,,,http://example.org/resource/object90755,,http://example.org/resource/object66344,,,,,,,,,,
http://example.org/resource/subject94934,http://example.org/resource/object17295,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject31124,http://example.org/resource/object48136,,,,,http://example.org/resource/object81721,,,,,,http://example.org/resource/object9947,,,,,,,,,
http://example.org/resource/subject65576,http://example.org/resource/object80002,http://example.org/resource/object77491,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject84697,"http://example.org/resource/object28187,http://example.org/resource/object60658",,,,,,,http://example.org/resource/object96395,,,,,,,,,,,,,
http://example.org/resource/subject85081,http://example.org/resource/object88219,,,,http://example.org/resource/object7330,,,,,,,,,,http://example.org/resource/object98939,,,,,,
http://example.org/resource/subject28714,http://example.org/resource/object42098,,,,http://example.org/resource/object87735,,,,http://example.org/resource/object41472,,,,,,,,,,,,
http://example.org/resource/subject74533,http://example.org/resource/object54879,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject22411,http://example.org/resource/object99831,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject92789,http://example.org/resource/object80128,,,,,,,,http://example.org/resource/object98438,,,,,,,,,,,,
http://example.org/resource/subject96297,http://example.org/resource/object12141,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject17990,http://example.org/resource/object61716,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject79396,http://example.org/resource/object21244,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject50750,http://example.org/resource/object93751,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject10524,http://example.org/resource/object49878,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject40898,http://example.org/resource/object78412,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject2746,http://example.org/resource/object45746,http://example.org/resource/object28501,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject12879,http://example.org/resource/object2691,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject86490,http://example.org/resource/object62863,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject19465,http://example.org/resource/object24412,,,,,http://example.org/resource/object65104,,,,,,,,,,,,,,,
http://example.org/resource/subject66188,http://example.org/resource/object71219,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject20039,http://example.org/resource/object27114,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject11558,http://example.org/resource/object8686,,,,,,,,,,,,http://example.org/resource/object4076,,,,,,,,
http://example.org/resource/subject11178,http://example.org/resource/object95074,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject29326,http://example.org/resource/object60380,,,,,http://example.org/resource/object13372,,,,,,,,,,,,,,,
http://example.org/resource/subject84938,http://example.org/resource/object75238,,http://example.org/resource/object11388,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject16382,http://example.org/resource/object41408,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject56761,http://example.org/resource/object43274,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject13546,http://example.org/resource/object43120,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject98980,http://example.org/resource/object45394,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject35930,http://example.org/resource/object36761,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject5857,http://example.org/resource/object75015,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject8429,http://example.org/resource/object85009,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject47535,http://example.org/resource/object13780,,,,,,,,http://example.org/resource/object12232,,,,,,,,,,,,
http://example.org/resource/subject85035,http://example.org/resource/object52988,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject40981,http://example.org/resource/object10144,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject92070,http://example.org/resource/object76290,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject83362,http://example.org/resource/object6892,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject65887,http://example.org/resource/object73419,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject28492,http://example.org/resource/object25021,,,,,,,,,,,,,,,,,,,,http://example.org/resource/object80201
http://example.org/resource/subject11229,http://example.org/resource/object13976,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject65710,http://example.org/resource/object75958,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject32849,http://example.org/resource/object24726,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject72949,http://example.org/resource/object70709,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject94990,http://example.org/resource/object96496,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject87195,http://example.org/resource/object94549,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject79155,http://example.org/resource/object86934,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject98656,http://example.org/resource/object42620,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject59004,http://example.org/resource/object25924,,http://example.org/resource/object32035,,,,,,,,,,,http://example.org/resource/object11591,,,,,,,
http://example.org/resource/subject68607,http://example.org/resource/object96365,,,http://example.org/resource/object54711,,,,,,,,,,,,,,,,,
http://example.org/resource/subject88112,http://example.org/resource/object55145,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject12123,http://example.org/resource/object6695,,,,,,,,,,,http://example.org/resource/object35228,,,http://example.org/resource/object77756,,,,,,
http://example.org/resource/subject13769,http://example.org/resource/object50341,,,,http://example.org/resource/object73500,,,,http://example.org/resource/object81594,,,,,,,,,,,,
http://example.org/resource/subject11391,http://example.org/resource/object22949,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject19071,http://example.org/resource/object63531,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject64469,http://example.org/resource/object55600,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject98786,http://example.org/resource/object77096,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject76124,http://example.org/resource/object46419,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject60766,http://example.org/resource/object15218,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject62624,http://example.org/resource/object57214,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject39661,http://example.org/resource/object65258,,,,,,,,,,http://example.org/resource/object44492,,,,,,,,,,
http://example.org/resource/subject24650,http://example.org/resource/object20417,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject94286,http://example.org/resource/object46918,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject4944,http://example.org/resource/object5919,,,,,,,,,,,,,,,,,,,http://example.org/resource/object41246,
http://example.org/resource/subject1124,"http://example.org/resource/object69386,http://example.org/resource/object49323",,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject69821,"http://example.org/resource/object38792,http://example.org/resource/object43621",,,,,,,,http://example.org/resource/object7438,,,,http://example.org/resource/object10925,,,,,,,,
http://example.org/resource/subject54018,http://example.org/resource/object88407,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject73361,http://example.org/resource/object11816,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject67509,http://example.org/resource/object30833,,,,http://example.org/resource/object93476,,,,,,,,,,,,,,,,
http://example.org/resource/subject63046,http://example.org/resource/object30945,,,,http://example.org/resource/object81750,,,,,,,,,,,,,,,,
http://example.org/resource/subject47809,http://example.org/resource/object72850,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject32645,http://example.org/resource/object71042,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject51576,http://example.org/resource/object32673,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject68992,http://example.org/resource/object75226,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject82162,http://example.org/resource/object78715,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject50065,http://example.org/resource/object94138,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject23552,http://example.org/resource/object27051,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject10766,http://example.org/resource/object48275,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject93980,http://example.org/resource/object74717,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject91913,http://example.org/resource/object3284,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject33122,http://example.org/resource/object52547,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject3182,http://example.org/resource/object62401,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject72870,http://example.org/resource/object17415,,,,,,,,,,,,,,,http://example.org/resource/object18400,,,,,
http://example.org/resource/subject67022,http://example.org/resource/object59165,,,,,,,,,,,http://example.org/resource/object92280,,,,,,,,,
