Subject,predicate17,predicate16,predicate8,predicate21,predicate9,predicate3,predicate19,predicate5,predicate22,predicate14,predicate15,predicate6,predicate20,predicate18,predicate10,predicate12
http://example.org/resource/subject31332,,,http://example.org/resource/object70127,,,,,,,,,,,,,
http://example.org/resource/subject66363,http://example.org/resource/object82314,,,,,,,,,,,,,,,
http://example.org/resource/subject38381,http://example.org/resource/object45107,,,,,,http://example.org/resource/object13931,http://example.org/resource/object19370,,,http://example.org/resource/object57113,,,,,
http://example.org/resource/subject36124,,,http://example.org/resource/object27224,,,,,,,,,,,,,
http://example.org/resource/subject59170,http://example.org/resource/object86688,,,,,,,,,,,,,,,
http://example.org/resource/subject73462,,,http://example.org/resource/object40391,http://example.org/resource/object54442,,,,,http://example.org/resource/object73987,,,,http://example.org/resource/object71206,,,
http://example.org/resource/subject42839,http://example.org/resource/object68366,,,,,,,,,,,,,,,
http://example.org/resource/subject3403,http://example.org/resource/object60307,,,,,,,,,http://example.org/resource/object55042,,,,,,
http://example.org/resource/subject89182,,,http://example.org/resource/object42572,,,,,,,,http://example.org/resource/object26140,,,,,
http://example.org/resource/subject10222,,,http://example.org/resource/object38020,,,,,,,,,,,,,
http://example.org/resource/subject26322,http://example.org/resource/object27729,,,,,,,,,,,,,,,
http://example.org/resource/subject8873,http://example.org/resource/object63595,,,,,,,,,,,,,,,
http://example.org/resource/subject78153,http://example.org/resource/object32453,,,,,,,,,,,,,,,
http://example.org/resource/subject8836,,,http://example.org/resource/object3052,,,,,,,,,,,http://example.org/resource/object28013,,
http://example.org/resource/subject81517,,,http://example.org/resource/object20442,,,,,,,,,,,,http://example.org/resource/object87368,
http://example.org/resource/subject44864,,,http://example.org/resource/object6367,,,,,,,,,,,,,http://example.org/resource/object2546
http://example.org/resource/subject27411,,,http://example.org/resource/object34719,,,,,,,,,,,,,
http://example.org/resource/subject674,,,http://example.org/resource/object37120,,,,,,,,,,,,,
http://example.org/resource/subject36199,http://example.org/resource/object17700,,,,,,,,,http://example.org/resource/object96739,,,,,,
http://example.org/resource/subject90318,http://example.org/resource/object21865,,,,,,,,,,,,,,,
http://example.org/resource/subject73328,http://example.org/resource/object9259,,,,,,,,,,,,,,,
http://example.org/resource/subject20474,http://example.org/resource/object32905,,,,,,,,,,,,,,,
http://example.org/resource/subject53818,http://example.org/resource/object25410,,,,,,,,,,,,,,,
http://example.org/resource/subject25456,http://example.org/resource/object93645,,,,,,,,,,,,,,,
http://example.org/resource/subject34489,http://example.org/resource/object39751,,,,,,,,,,,http://example.org/resource/object41794,,,,
http://example.org/resource/subject59926,http://example.org/resource/object42703,,,,,,,,,,,,,,,
http://example.org/resource/subject88274,http://example.org/resource/object21684,,,,,,,,,,,,,,,
http://example.org/resource/subject8127,http://example.org/resource/object52186,,,,,,,,,,,,,,,
http://example.org/resource/subject53188,http://example.org/resource/object29492,,,,,,,,,,,,,,,
http://example.org/resource/subject97682,http://example.org/resource/object3145,,,,,,,,,,,,,,,
http://example.org/resource/subject7770,http://example.org/resource/object76791,,,,,,,,,,,,,,,
http://example.org/resource/subject75192,http://example.org/resource/object21997,,,,,,,,,,,,,,,
http://example.org/resource/subject9990,http://example.org/resource/object48967,,,,,,,,,,,,,,,
http://example.org/resource/subject92056,http://example.org/resource/object20944,,,,,,,,,,,,,,,
http://example.org/resource/subject19951,http://example.org/resource/object91221,,,,,,,,,,,,,,,
http://example.org/resource/subject34767,http://example.org/resource/object83379,,,,,,,,,,,,,,,
http://example.org/resource/subject30233,http://example.org/resource/object55977,,,,,,,,,,,,,,,
http://example.org/resource/subject30043,http://example.org/resource/object41252,,,,http://example.org/resource/object90853,,,,,,,,,,,
http://example.org/resource/subject6222,http://example.org/resource/object36819,,,,,,,,,,,,,,,
http://example.org/resource/subject85758,http://example.org/resource/object67821,,,,,,,,,,,,,,,
http://example.org/resource/subject86902,http://example.org/resource/object2123,,,,,,,,,,,,,,,
