Subject,predicate22,predicate9,predicate1,predicate2,predicate18,predicate21,predicate4,predicate17,predicate16,predicate11,predicate19,predicate3,predicate12,predicate13,predicate14,predicate6
http://example.org/resource/subject39943,http://example.org/resource/object93480,,,,,,,,,,,,,,,
http://example.org/resource/subject44252,http://example.org/resource/object456,,,,,,,,,,,,,,,
http://example.org/resource/subject54759,http://example.org/resource/object55923,,,,,,,,,,,,,,,
http://example.org/resource/subject42357,http://example.org/resource/object6267,,,,,http://example.org/resource/object53002,,,,,,,,,,
http://example.org/resource/subject50486,http://example.org/resource/object28872,,,,,,,,,,,,,,,
http://example.org/resource/subject40702,http://example.org/resource/object62503,,,,,,,,,,,,,,,
http://example.org/resource/subject10482,http://example.org/resource/object29903,,,,,,,,,,,,http://example.org/resource/object46933,,,
http://example.org/resource/subject93627,http://example.org/resource/object79513,,,,,,,,,,,,,,,
http://example.org/resource/subject5782,http://example.org/resource/object94010,,,,,,,http://example.org/resource/object90565,,,,,,,,
http://example.org/resource/subject85113,http://example.org/resource/object79198,,,,,,,,,,,,,,,
http://example.org/resource/subject3811,http://example.org/resource/object19612,,,,,,,,http://example.org/resource/object4300,,,,,,,
http://example.org/resource/subject75387,http://example.org/resource/object56357,,,,,,,,,http://example.org/resource/object77940,,,,,,
http://example.org/resource/subject4804,http://example.org/resource/object87655,,,,,http://example.org/resource/object94277,,,,,,,,,,http://example.org/resource/object89223
http://example.org/resource/subject91537,http://example.org/resource/object50334,,,,,,,,,,,,,,,
http://example.org/resource/subject30465,http://example.org/resource/object362,,,,,,,,,,,,,,,
