Subject,openingHoursSpecification,má-kontakt,hasEnd,hasEmail,má-vstupné,hasBeginning,Description (cs),Description (en),rest,má-vykonavatele-majetkových-práv-autorských-u-autorského-díla,inXSDDateTimeStamp,hasURL,druh (cs),druh (en),má-přílohu,downloadUrl,databáze-chráněná-zvláštními-právy-pořizovatele-databáze,legalName (cs),notation,má-podmínky-užití,geometry,first,originální-databáze,licence-autorského-díla,coordinates,encodingFormat,obsahuje-více-autorských-děl,Type,má-časový-interval,Title (cs),Title (en),superEvent,obsahuje-osobní-údaje,type,obsahuje-autorské-dílo
https://www.gotobrno.cz/akce/autenticke-prohlidky-2024-brnenska-okruzni-trida/,47,,,,,,"""Silné hradby, které obíhaly historické centrum Brna, ztratily během 19.&nbsp;století svůj význam. Jejich zbouráním vznikl prostor, který umožnil realizaci moderního urbanistického konceptu, známého především z Vídně – Ringstrasse, tedy okružní třída. Vydáme se po jejím obvodu a&nbsp;budeme si vyprávět o&nbsp;době, ve které brněnská okružní třída vznikala. Zastavíme se také u&nbsp;reprezentativních budov jako je například Besední dům, Pražákův palác, Berglův palác či červený kostel, a&nbsp;vzpomeneme také na nejvýznamnější architekty těchto staveb.  Trasa: Koliště-Rooseveltova-Husova-Nádražní  Sraz: u&nbsp;modelu Brna, Moravské náměstí  Délka programu: 2&nbsp;h  Trasa není určena pro osoby se sníženou pohyblivostí.  Průvodce: Martin Koplík""",,,,,,,,,,,,,,48,,,,,,,,,AutenTICké prohlídky 2024: Brněnská okružní třída,,,,,
https://www.gotobrno.cz/akce/autoteatro-problemovi-spoluzaci-4/,52,,,,,,"""Autoteatro: Problémoví spolužáciImerzivní představení pro 2 divákyPředstavení uvádíme v&nbsp;českém i&nbsp;anglickém jazyce!Doba představení: 35 – 40 minutKde: Café Paměti národa (Radnická 369/10, Brno střed)Jana Kaněrová a&nbsp;Zdeněk Adamec. Oba narozeni v&nbsp;roce 1934. Oba studenti v&nbsp;nepříznivých 50.&nbsp;letech v&nbsp;Československu. Oba spolužáci Jany Horákové – dcery Milady Horákové, asi nejslavnější oběti komunistických politických procesů v&nbsp;Česku. Díky autoteatru se na malou chvíli dostanete do jejich kůže a&nbsp;budete si umět lépe představit, čím si museli projít.Režie: Monika Okurková a&nbsp;kolektivHudba: Matěj ZáhoříkDramaturgie: Monika Okurková a&nbsp;kolektivPrůvodci: studenti difa JAMU – Alexandr Blaho, Anna Zahálková, Marcela Plíhalová, Nikola Izaiaszová, Tadeáš Novák, Vít Schreiber""","""Autoteatro: TROUBLESOME CLASSMATESImmersive performance for an audience of two Performance time: 30 – 40 min.Where: Café Paměti národa (Radnická 369/10, Brno střed)Script, Direction: Monika Okurková Music: Matěj Záhořík Creative Team: Alexandr Blaho, Anna Zahálková, Marcela Plíhalová, Nikola Izaiaszová, Tadeáš Novák, Vít SchreiberANNOTATION: Jana Kaněrová and Zdeněk Adamec. Both born in 1934. Both students during the challenging 1950s in Czechoslovakia. Both classmates of Jana Horáková – the daughter of Milada Horáková, probably the most famous victim of communistic political monster-processes in Czechoslovakia.Thanks to autoteatro, you might experience for a&nbsp;while what it felt like to be in their skin, and you will be able to imagine what they had to go through.questions: divadlodip@gmail.com, +420&nbsp;775636658""",,,,,,,,,,,,,53,,,,,,,divadlo,,Autoteatro &#8211; Problémoví spolužáci,Autoteatro: TROUBLESOME CLASSMATES,,,,
https://www.gotobrno.cz/akce/az-na-ten-konec-dobry/,57,,,,,,Světová premiéra dramatizace humorného románu o&nbsp;smrti.,,,,,,,,,,,,,,58,,,,,,,divadlo,,Až na ten konec dobrý,,,,,
https://www.gotobrno.cz/akce/bastl-jam/,61,,,,,,"""Bastl Jam se vrací do Kabinetu MÚZ. Večer plný živých vystoupení zkušených hudebníků i nováčků. Od drone přes four to the floor až po vše mezi tím – jakýkoliv druh živé elektronické hudby, který hledáte. Přijďte a buďte součástí organického dění uvnitř místní hudební scény.Hudebníci budou tvořit hudbu přímo před vašima očima s pomocí modulárních a jiných syntezátorů, zatímco vizuální umělci se postarají o jedinečnou dekoraci Kabinetu MÚZ. Přátelé kolem BASTL Instruments, 30 minutové sety, pokaždé něco nového.Lineup maraton sestavujeme.&nbsp;&nbsp;&nbsp;""","""Bastl Jam is heading back to Kabinet Múz for a match made in heaven!An evening full of exciting live sets from experienced performers as well as first timers. High impact drones to four to the floor and everything in between – whatever shade of live electronic music you&#8217;re after, you&#8217;re gonna find it here. Come and be part of the organic process of the local music scene.Musicians will create the music in front of your eyes with modular and other synths and visual artist will decorate the Kabinet Múz. Bastl people &amp; friends, 30 minutes each, trying something new.Line up marathon in progress&nbsp;&nbsp;""",,,,,,,,,,,,,62,,,,,,,koncert,,BASTL JAM,BASTL JAM,,,,
https://www.gotobrno.cz/akce/bastlfest-festival-kutilstvi-pro-celou-rodinu-2/,65,,,,,,"""Jste vášnivými tvůrci, kteří stále hledají nové výzvy a&nbsp;chtějí zdokonalovat své dovednosti?Bastlfest je tady pro vás! Již 9.&nbsp;rokem vás VIDA! park zve na nezapomenutelný festival kutilství pro celou rodinu.&nbsp;Na co se můžete těšit?🔨 desítku vystavovatelů, kteří představí nejrůznější kutilské aktivity,🧰 užijete si řezání, šroubování, ale i&nbsp;pájení nebo kování,🧲 seznámíte se s&nbsp;moderními technologiemi, včetně 3D tisku a&nbsp;gravírování,🤖 postavíte kuličkodráhu a&nbsp;vyrobíte hračky z kovu či dřeva,🤩 a&nbsp;mnoho dalšího&#8230;Podrobný program a&nbsp;výčet všech vystavovatelů najdete na našem webu. Vstup na Bastlfest je v ceně vstupenky do expozice VIDA!, kterou zakoupíte s&nbsp;předstihem online nebo v&nbsp;den akce na pokladně.Festival podpořila společnost BAUHAUS.""",,,,,,,,,,,,,,66,,,,,,,,,Bastlfest | festival kutilství pro celou rodinu,,,,,
https://www.gotobrno.cz/akce/bdeni/,70,,,,,,"""Ne o&nbsp;každé generaci choreografů se dá hovořit, že by na dlouhá desetiletí ovládla celosvětový vývoj baletního umění. Náš nový baletní večer přináší díla osobností, které ovlivnily baletní umění přelomu tisíciletí a&nbsp;dosud nás uchvacují svou nepřekonatelnou invencí vepsanou do jejich choreografií.Večer navazuje na oceňovaný a&nbsp;doslova nabitý titul 4 Elements uvedený naším souborem, kde jsme vedle sebe postavili díla světových veličin Jiřího Kyliána a&nbsp;Nacha Duata, které není třeba v&nbsp;Brně představovat. Tuto výjimečnou kombinaci tvůrců jsme se rozhodli zopakovat i&nbsp;v&nbsp;aktuálním premiérovém večeru a&nbsp;obohatit ji navíc o&nbsp;výjimečného choreografa z&nbsp;východní Evropy, dlouholetého uměleckého šéfa Kyjevského moderního baletu, Radu Poklitaru.Ten pro náš soubor vytvoří novou choreografii Waves, baletní úvahu o&nbsp;povaze lidského štěstí, o&nbsp;tajném kouzlu absolutně uzavřeného vnitřního světa člověka, o&nbsp;hranici v&nbsp;osamělé bytosti, za níž začíná skutečný život. Jiří Kylián v&nbsp;choreografii Sleepless nastoluje otázku souvislosti pohybu a&nbsp;pohnutí duše. Jsme si jistí, že se chceme opravdu k&nbsp;něčemu přiblížit a&nbsp;zároveň se tím od něčeho vzdálit? Tato otázka má nevyhnutelně velký vliv na naši existenci, naše záměry a&nbsp;naše procházení životem.Třetí částí večera je fascinující choreografie Nacha Duata White Darkness. V&nbsp;ní Duato intenzivně reflektuje téma drogové závislosti, situaci, kterou sám prožil z&nbsp;bezprostřední blízkosti v&nbsp;podobě předčasné smrti své sestry, které dílo věnoval. Večer slibuje vrcholný zážitek nejen pro ty, kteří milují současný balet. Svou nespornou kvalitou, pohybovým výrazem, invencí a&nbsp;silou výpovědi osloví bezpochyby i&nbsp;konzervativněji naladěné publikum.Premiéra: 3.&nbsp;listopadu 2023 v&nbsp;Janáčkově divadle""",,,,,,,,,,,,,,71,,,,,,,"divadlo,koncert",,Bdění,,,,,
https://www.gotobrno.cz/akce/betlemske-svetlo-a-zpivani-koled-v-bohunicke-kaplicce-2/,74,,,,,,"""Tradiční bohunická akce v&nbsp;předvečer Štědrého dne, kdy se (nejen) obyvatelé Bohunic scházejí v&nbsp;místní kapličce, aby se společně setkali, zastavili se v&nbsp;předvánočním shonu, zapálili si svíci světlem z&nbsp;Betléma a&nbsp;společně zanotovat několik vánočních koled. Všichni lidé dobré vůle jsou srdečně zváni!&#8212;Betlémské světlo se rozdává od 17 do 19 hodiny, společné zpívání koled začne v&nbsp;18 hodin.""",,,,,,,,,,,,,,75,,,,,,,koncert,,Betlémské světlo a&nbsp;zpívání koled v&nbsp;bohunické kapličce,,,,,
https://www.gotobrno.cz/akce/black-and-white/,79,,,,,,"""Někdy stačí jediná vteřina…Black and White je v&nbsp;podstatě moderně zpracovaná verze vlajkové lodi klasického repertoáru – Labutího jezera. Jde o&nbsp;titul, který patří k&nbsp;nejhranější baletům na světě. Naše verze, která měla velký úspěch v USA, ale reprezentuje dnešek. Jde o&nbsp;pokus přiblížit toto dílo mladší generaci pohledem z jiného úhlu, popřením všech tradic a&nbsp;vizuálním přetvořením Labutího jezera jako takového. V klasickém zpracování baletu jsou dominantní postavy balerín (hlavní dvojrole Odetta – Odílie), jde tedy hlavně o&nbsp;výpověď ženského elementu. V&nbsp;naší verzi nabízíme pohled na Labutí jezero skrze hlavní postavu, prince Siegfrieda, který prochází složitou životní situací spojenou s léčbou těžkého onemocnění – rakoviny. Někdy stačí sekunda – a&nbsp;život se převrátí naruby. Siegfried hledá sám sebe v&nbsp;kráse něžného a&nbsp;téměř dokonalého tvora, jakým je Labuť. Stejně jako princ v klasické verzi příběhu, i&nbsp;on stojí před volbou. Bílá a&nbsp;černá… Je bílá barva opravdu tak nevinná, nebo je daleko nebezpečnější než černá? Některé kultury považují černou za mnohem předvídatelnější než bílou… Jde o&nbsp;to, jak věci vidíme: možná paradoxně právě to černé nám mnohem víc pomáhá uvědomit si naše směřování.Premiéra: 20.&nbsp;března 2015 v Mahenově divadle""",,,,,,,,,,,,,,80,,,,,,,"divadlo,koncert",,Black and White,,,,,
https://www.gotobrno.cz/akce/brnenske-vanoce-2/,83,,,,,,"""Brněnské Vánoce a&nbsp;jejich vánoční trhy jsou tu proto, aby vás potěšily a&nbsp;naladily na nejkrásnější svátky v&nbsp;roce. Není letos v&nbsp;Evropě lepší město, kde čekat na Ježíška než Brno, protože právě Brno bylo vyhlášeno Evropským hlavním městem Vánoc 2024!Více informací o&nbsp;Brněnských Vánocích najdete na webu www.brnenskevanoce.cz.""","""Christmas in Brno and its Christmas markets are here to delight you and put you in the mood for the most beautiful holiday of the year. There is no better city in Europe this year to wait for Christmas Day than Brno, as Brno has been named the European Capital of Christmas 2024!More information about Brno Christmas.""",,,,,,,,,,,,,84,,,,,,,koncert,,Brněnské Vánoce,Brno Christmas,,,,
https://www.gotobrno.cz/akce/brno-a-jeho-chramy-zanikle-sakralni-stavby-v-brne-prednaska/,87,,,,,,"""Mnozí z&nbsp;vás tuší, kde přesně na Dominikánském náměstí stávala Královská kaple. Také nejspíš víte, že v&nbsp;dlažbě na náměstí Svobody je vyznačeno místo, kde se nacházel kostel sv. Mikuláše. Víte ale, kde stála kaple sv. Karla Boromejského nebo sv. Františka Xaverského a&nbsp;mnohé další památky?Přijďte na přednášku Jakuba Kříže, který nás provede po místech zaniklých sakrálních staveb v&nbsp;Brně.Délka programu: 1,5&nbsp;hMísto konání: Kino CIT, Radnická 4, od recepce vpravo do 1.&nbsp;patra Pozn. Sál se nachází v&nbsp;1.&nbsp;patře, bez výtahu.Přednášející: Jakub Kříž&nbsp;""",,,,,,,,,,,,,,88,,,,,,,,,AutenTICké prohlídky 2024: Zaniklé sakrální stavby v&nbsp;Brně (přednáška),,,,,
https://www.gotobrno.cz/akce/brno-art-week-2025/,92,,,,,,"""Brno Art Week je platformou, která každoročně organizuje jedinečný festival věnovaný výtvarnému umění. Brněnské kulturní instituce muzea, galerie, knihovny a&nbsp;školy zabývající se výtvarným uměním již čtrnáct let společně představují širokou škálu výstavních i&nbsp;doprovodných programů. Záměrem BAW jsou síťování a&nbsp;sdílení institucí, umělců a&nbsp;příznivců a&nbsp;zprostředkování umění, které je trvalou a&nbsp;náročnou výzvou pro ty, co umění produkují, prezentují i&nbsp;vyučují.Do festivalu se zapojují všechny galerie a&nbsp;muzea zabývající se výtvarným uměním v&nbsp;Brně, stejně jako nezávislé a&nbsp;off-space galerie. Jedinečná je též spolupráce galerií s&nbsp;vysokými školami uměleckého zaměření. V&nbsp;případěBrna je Art Week specifický tím, že vzniká v&nbsp;těsné spolupráci s&nbsp;TIC BRNO jako příspěvkové organizace Brna s&nbsp;výukovým pracovištěm, které vychovává učitele a&nbsp;učitelky umění, tj. s&nbsp;katedrou výtvarné výchovy PedF MU.Kromě toho festival pomáhá návštěvníkům zorientovat se v&nbsp;nabídce kulturních institucí – slouží i&nbsp;jako přehled míst, kam lze jít za uměním. Art Week je mezinárodně rozšířený formát, při kterém Brno navazuje na tradici, jež dlouhodobě funguje například ve Vídni a&nbsp;v&nbsp;dalších evropských městech; po Brně se k&nbsp;organizaci Art Weeků přidal například Berlín nebo Praha.""",,,,,,,,,,,,,,93,,,,,,,výstava,,Brno Art Week 2025,,,,,
